experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
4,Anesth,Multitone,WT,na,6693,14.8236777908505,13.1222750177834
4,Anesth,Multitone,WT,na,7225,13.7581773411565,13.7154656923945
4,Anesth,Multitone,WT,na,7760,15.3031193760288,15.0092464134138
4,Anesth,Multitone,WT,na,8298,13.5213460903413,16.4853328624041
4,Anesth,Multitone,WT,na,8838,13.0210780885973,18.5238979069274
4,Anesth,Multitone,WT,na,9380,14.5119563832084,21.2166788388663
4,Anesth,Multitone,WT,na,9925,20.1836821723474,24.150342554348
4,Anesth,Multitone,WT,na,10473,23.905071410703,25.0697928722261
4,Anesth,Multitone,WT,na,11023,29.7094755801561,25.41221370799
4,Anesth,Multitone,WT,na,11575,32.9803902507931,27.7320726264288
4,Anesth,Multitone,WT,na,12130,34.1086362471689,28.9148801279575
4,Anesth,Multitone,WT,na,12688,31.6357573486458,28.9976139307595
4,Anesth,Multitone,WT,na,13248,NaN,27.2287918555247
4,Anesth,Multitone,WT,na,13810,NaN,NaN
4,Anesth,Multitone,WT,na,14375,NaN,NaN
5,Anesth,Multitone,WT,na,4068,18.3489415145114,14.841541038062
5,Anesth,Multitone,WT,na,4588,11.8634435330008,13.9517314734362
5,Anesth,Multitone,WT,na,5110,13.6514555667548,13.3956494918786
5,Anesth,Multitone,WT,na,5635,10.361042743166,12.7378099482044
5,Anesth,Multitone,WT,na,6163,8.95737829908111,13.3683754824604
5,Anesth,Multitone,WT,na,6693,9.53386685347277,13.4013098122523
5,Anesth,Multitone,WT,na,7225,8.19263112683579,14.1106614625539
5,Anesth,Multitone,WT,na,7760,7.00496269266372,15.2383572057374
5,Anesth,Multitone,WT,na,8298,7.76196931067393,17.1950725803477
5,Anesth,Multitone,WT,na,8838,10.4812881780108,19.7246822507034
5,Anesth,Multitone,WT,na,9380,13.6661013190076,21.9729235063857
5,Anesth,Multitone,WT,na,9925,19.3090832001159,24.0086860306879
5,Anesth,Multitone,WT,na,10473,26.0001143325575,26.1511633762983
5,Anesth,Multitone,WT,na,11023,30.3126008869502,26.4326051812458
5,Anesth,Multitone,WT,na,11575,30.9999166429269,27.8854752484522
5,Anesth,Multitone,WT,na,12130,32.6566486049174,27.6096188337533
5,Anesth,Multitone,WT,na,12688,37.5114289236659,30.7489613510212
5,Anesth,Multitone,WT,na,13248,33.9015056634147,29.7697421204635
5,Anesth,Multitone,WT,na,13810,35.9228261460475,29.2828098304581
5,Anesth,Multitone,WT,na,14375,NaN,NaN
6,Anesth,Multitone,WT,na,4068,18.3489415145114,14.841541038062
6,Anesth,Multitone,WT,na,4588,11.8634435330008,13.9517314734362
6,Anesth,Multitone,WT,na,5110,13.6514555667548,13.3956494918786
6,Anesth,Multitone,WT,na,5635,10.361042743166,12.7378099482044
6,Anesth,Multitone,WT,na,6163,8.95737829908111,13.3683754824604
6,Anesth,Multitone,WT,na,6693,9.53386685347277,13.4013098122523
6,Anesth,Multitone,WT,na,7225,8.19263112683579,14.1106614625539
6,Anesth,Multitone,WT,na,7760,7.00496269266372,15.2383572057374
6,Anesth,Multitone,WT,na,8298,7.76196931067393,17.1950725803477
6,Anesth,Multitone,WT,na,8838,10.4812881780108,19.7246822507034
6,Anesth,Multitone,WT,na,9380,13.6661013190076,21.9729235063857
6,Anesth,Multitone,WT,na,9925,19.3090832001159,24.0086860306879
6,Anesth,Multitone,WT,na,10473,26.0001143325575,26.1511633762983
6,Anesth,Multitone,WT,na,11023,30.3126008869502,26.4326051812458
6,Anesth,Multitone,WT,na,11575,30.9999166429269,27.8854752484522
6,Anesth,Multitone,WT,na,12130,32.6566486049174,27.6096188337533
6,Anesth,Multitone,WT,na,12688,37.5114289236659,30.7489613510212
6,Anesth,Multitone,WT,na,13248,33.9015056634147,29.7697421204635
6,Anesth,Multitone,WT,na,13810,35.9228261460475,29.2828098304581
6,Anesth,Multitone,WT,na,14375,NaN,NaN
7,Anesth,Multitone,Alpha9KO,na,4068,18.3489415145114,14.5869303514167
7,Anesth,Multitone,Alpha9KO,na,4588,11.8634435330008,13.8882272641063
7,Anesth,Multitone,Alpha9KO,na,5110,13.6514555667548,13.3732990462964
7,Anesth,Multitone,Alpha9KO,na,5635,10.361042743166,12.7891835655812
7,Anesth,Multitone,Alpha9KO,na,6163,10.0107639432522,13.354401552112
7,Anesth,Multitone,Alpha9KO,na,6693,9.53386685347277,13.4361831167646
7,Anesth,Multitone,Alpha9KO,na,7225,8.19263112683579,14.3286913953368
7,Anesth,Multitone,Alpha9KO,na,7760,7.00496269266372,15.533384435108
7,Anesth,Multitone,Alpha9KO,na,8298,9.07540379110078,17.3339282635297
7,Anesth,Multitone,Alpha9KO,na,8838,11.7958398210806,20.0435619796153
7,Anesth,Multitone,Alpha9KO,na,9380,14.833769778588,22.2473864908159
7,Anesth,Multitone,Alpha9KO,na,9925,19.957588188423,24.0018012512129
7,Anesth,Multitone,Alpha9KO,na,10473,26.9677353184533,26.4037363014638
7,Anesth,Multitone,Alpha9KO,na,11023,30.4952106663258,26.6049081793544
7,Anesth,Multitone,Alpha9KO,na,11575,31.0497658093381,27.8972398795076
7,Anesth,Multitone,Alpha9KO,na,12130,32.6566486049174,27.6096188337533
7,Anesth,Multitone,Alpha9KO,na,12688,37.5114289236659,30.7489613510212
7,Anesth,Multitone,Alpha9KO,na,13248,33.9015056634147,29.7697421204635
7,Anesth,Multitone,Alpha9KO,na,13810,35.9228261460475,29.2828098304581
7,Anesth,Multitone,Alpha9KO,na,14375,NaN,NaN
